Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Krishnamurthy, Savitri; Jain, Parag; Tripathy, Debu; Muhammad, Hassan; huang, Wei; Yang, Hua; Kummar, Shivaani; Wilding, George; Roy, Rajat; Randhawa, Ramandeep; ",Abstract P6-01-18: Predicting response of triple negative breast cancer to neoadjuvant chemotherapy using a deep convolutional neural network-based artificial intelligence tool,Cancer Research,83,5_Supplement,P6-01-18-P6-01-18,2023,The American Association for Cancer Research
"Muhammad, Hassan; Xie, Chensu; ",Determining scores indicative of times to events from biomedical images,,,,,2025,"US Patent 12,406,511"
"Krishnamurthy, Savitri; Jain, Parag; Tripathy, Debu; Basset, Roland; Randhawa, Ramandeep; Muhammad, Hassan; Huang, Wei; Yang, Hua; Kummar, Shivaani; Wilding, George; ",Predicting response of triple-negative breast cancer to neoadjuvant chemotherapy using a deep convolutional neural network–based artificial intelligence tool,JCO clinical cancer informatics,7,,e2200181,2023,Wolters Kluwer Health
"Huang, Wei; Jain, Parag; Xie, Chensu; Muhammad, Hassan; Basu, Hirak; Wilding, George; Roy, Rajat; ",AI powered-platform to predict gene modifications from prostate and breast cancer whole slide images,Cancer Research,83,7_Supplement,5408-5408,2023,The American Association for Cancer Research
"Nair, Sujit; Muhammad, Hassan; Jain, Parag; Xie, Chensu; Pavlova, Ina; Brody, Rachel; Huang, Wei; Nakadar, Maria; Zhang, Xiangfu; Basu, Hirak S; ","A novel, AI-generated morphologic biomarker to predict prostate cancer recurrence in patients with intermediate risk of progression.",,,,,2023,American Society of Clinical Oncology
"Mobadersany, Pooya; Tian, Shaozhou Ken; Yip, Stephen SF; Greshock, Joel; Khan, Najat; Yu, Margaret K; McCarthy, Sharon; Brookman-May, Sabine D; Muhammad, Hassan; Xie, Chensu; ",AI-enabled analysis of H&E-stained prostate cancer tissue images: Assessing risk for metastasis prior to apalutamide (APA) treatment of patients with non-metastatic castration-resistant prostate cancer (nmCRPC).,,,,,2023,American Society of Clinical Oncology
"Xie, Chensu; Muhammad, Hassan; VANDERBILT, Chad M; CASO, Raul; YARLAGADDA, Dig Vijay Kumar; CAMPANELLA, Gabriele; Fuchs, Thomas J; ",End-to-end part learning for image analysis,,,,,2023,"US Patent App. 18/008,133"
"Nair, Monica; Liao, Ross; Jain, Parag; Xie, Chensu; Muhammad, Hassan; Huang, Wei; Basu, Hirak S; Wilding, George; Roy, Rajat; Diaz-Montero, C Marcela; ",AI-based morphologic model for prediction of individual patient response to immune checkpoint inhibitors for bladder cancer.,,,,,2024,American Society of Clinical Oncology
"Chakravarty, Dimple; Muhammad, Hassan; Xie, Chensu; Jain, Parag; Brody, Rachel; Leung, Lawrence; Fatterpekar, Monali; Huang, Wei; Bhardwaj, Swati; Basu, Hirak; ",MP74-10 AI-based risk-stratification tool PATHOMIQ_PRAD analyzes histopathology images to accurately predict metastasis in black men and helps discover cancer drivers,Journal of Urology,211,5S,e1196,2024,LWW
"Liao, Ross S; Nair, Monica; Jain, Parag; Xie, Chensu; Muhammad, Hassan; Huang, Wei; Basu, Hirak; Wilding, George; Roy, Rajat; Diaz-Montero, Claudia Marcela; ",MP77-12 Artificial intelligence-based morphologic model for prediction of immunotherapy response in locally advanced and metastatic urothelial carcinoma of the bladder,Journal of Urology,211,5S,e1257,2024,LWW
"Fay, Magdalena; Liao, Ross; Lone, Zaeem M; Reddy, Chandana A; Muhammad, Hassan; Xie, Chensu; Jain, Parag; Huang, Wei; Basu, Hirak S; Nguyen, Jane; ",Independent blinded validation of an AI-based digital histology classifier for prostate cancer recurrence and metastasis risk prediction.,,,,,2024,American Society of Clinical Oncology
"Nair, Sujit S; Muhammad, Hassan; Jain, Parag; Xie, Chensu; Pavlova, Ina; Brody, Rachel; Huang, Wei; Nakadar, Maria; Zhang, Xiangfu; Basu, Hirak; ",A Novel Artificial Intelligence-powered Tool for Precise Risk Stratification of Prostate Cancer Progression in Patients with Clinical Intermediate Risk,European urology,87,6,728-729,2025,
"Liao, Ross S; Fay, Magdalena; Lone, Zaeem; Reddy, Chandana; Muhammad, Hassan; Xie, Chensu; Jain, Parag; Huang, Wei; Basu, Hirak; Nair, Sujit; ",IP05-03 AI-BASED DIGITAL HISTOLOGIC CLASSIFIER FOR PROSTATE CANCER RISK STRATIFICATION: INDEPENDENT BLINDED VALIDATION IN PATIENTS TREATED WITH RADICAL PROSTATECTOMY,The Journal of Urology,213,5S,e293,2025,"Wolters Kluwer Philadelphia, PA"
"Muhammad, Hassan; Xie, Chensu; Jain, Parag; Roy, Rajat; Tewari, Ashutosh K; CHAKRAVARTY, Dimple; Nair, Sujit S; ",Systems and methods for identifying prostate cancer patients at high-risk of progression,,,,,2025,"US Patent App. 18/918,891"
"Fay, Magdalena; Liao, Ross S; Lone, Zaeem M; Reddy, Chandana A; Muhammad, Hassan; Xie, Chensu; Jain, Parag; Huang, Wei; Basu, Hirak S; Nair, Sujit S; ",Artificial Intelligence–Based Digital Histologic Classifier for Prostate Cancer Risk Stratification: Independent Blinded Validation in Patients Treated With Radical Prostatectomy,JCO Clinical Cancer Informatics,9,,e2400292,2025,Wolters Kluwer Health
"Muhammad, H; Sigel, CS; Campanella, G; ",Medical Image Computing and Computer Assisted Intervention–MICCAI 2019,,,,,2019,Springer International Publishing
"Muhammad, Hassan; Xie, Chensu; ",Determining scores indicative of times to events from biomedical images,,,,,2025,"US Patent App. 19/315,275"
